"filename", "language", "Docker", "JSON with Comments", "JSON", "TypeScript JSX", "TypeScript", "Markdown", "Prisma", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Projects\iecom-comp\src\pages\api\trpc\[trpc].ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"d:\Projects\iecom-comp\src\pages\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 8, 93
"d:\Projects\iecom-comp\src\pages\exam\[examId].tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 5, 51
"d:\Projects\iecom-comp\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"d:\Projects\iecom-comp\src\pages\profile.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Projects\iecom-comp\src\pages\signin.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Projects\iecom-comp\src\pages\signup.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Projects\iecom-comp\src\server\api\functions\reusable-logic\calculate-duration.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\Projects\iecom-comp\src\server\api\functions\reusable-logic\prelim-participant-get-attendance.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 11, 76
"d:\Projects\iecom-comp\src\server\api\functions\reusable-logic\prelim-randomizer.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 5, 29
"d:\Projects\iecom-comp\src\server\api\root.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 6, 3, 23
"d:\Projects\iecom-comp\src\server\api\routers\exam.ts", "TypeScript", 0, 0, 0, 0, 313, 0, 0, 0, 0, 3, 61, 377
"d:\Projects\iecom-comp\src\server\api\routers\prelim\admin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\iecom-comp\src\server\api\routers\prelim\attendance.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 17, 78
"d:\Projects\iecom-comp\src\server\api\routers\prelim\index.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Projects\iecom-comp\src\server\api\routers\prelim\site.ts", "TypeScript", 0, 0, 0, 0, 345, 0, 0, 0, 0, 2, 48, 395
"d:\Projects\iecom-comp\src\server\api\routers\profile.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"d:\Projects\iecom-comp\src\server\api\routers\storage.ts", "TypeScript", 0, 0, 0, 0, 110, 0, 0, 0, 0, 1, 15, 126
"d:\Projects\iecom-comp\src\server\api\routers\user.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 5, 31
"d:\Projects\iecom-comp\src\server\api\trpc.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 67, 21, 169
"d:\Projects\iecom-comp\src\server\auth\index.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 0, 0, 17, 11, 144
"d:\Projects\iecom-comp\src\server\auth\withSession.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 2, 11, 92
"d:\Projects\iecom-comp\src\server\bucket.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 5, 18
"d:\Projects\iecom-comp\src\server\db.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Projects\iecom-comp\src\styles\component\button.tsx", "TypeScript JSX", 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 10, 202
"d:\Projects\iecom-comp\src\styles\component\colors.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 11, 79
"d:\Projects\iecom-comp\src\styles\component\input.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 3, 34
"d:\Projects\iecom-comp\src\styles\component\table.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"d:\Projects\iecom-comp\src\styles\component\textarea.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 3, 31
"d:\Projects\iecom-comp\src\styles\fonts.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Projects\iecom-comp\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 121, 2, 25, 148
"d:\Projects\iecom-comp\src\styles\theme.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Projects\iecom-comp\src\utils\api.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 32, 6, 68
"d:\Projects\iecom-comp\src\utils\elements\PasswordInput.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"d:\Projects\iecom-comp\src\utils\file.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"d:\Projects\iecom-comp\src\utils\hooks\useDownloader.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"d:\Projects\iecom-comp\src\utils\hooks\useHoverMenu.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"d:\Projects\iecom-comp\src\utils\hooks\useIsMobile.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\iecom-comp\src\utils\hooks\useToaster.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 6, 49
"d:\Projects\iecom-comp\src\utils\hooks\useUploader.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 9, 35
"d:\Projects\iecom-comp\src\utils\hooks\useWindowDimensions.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Projects\iecom-comp\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 1, 35
"Total", "-", 39, 29, 7462, 2877, 1558, 17, 377, 86, 121, 222, 763, 13551
